PAP ID,PAP Refs ,X Coord,Y Coord
15391,BUN0001,164360.030,66371.483
15394,BUN0002,164367.209,66426.261
15528,BUN0003,164372.589,66472.211
15401,BUN0004,164387.764,66497.196
15484,BUN0005,164405.781,66516.313
15404,BUN0006,164417.227,66532.634
15409,BUN0007,164434.166,66549.054
15412,BUN0008,164460.495,66579.231
15423,BUN0009,164486.466,66607.164
15417,BUN0010,164509.440,66635.098
15427,BUN0011,164541.561,66669.898
15438,BUN0012,164563.161,66694.597
15489,BUN0013,164584.863,66718.684
15448,BUN0014,164609.686,66746.927
15455,BUN0015,164644.916,66786.821
15459,BUN0016,164665.705,66810.730
15464,BUN0017,164687.617,66834.958
15531,BUN0018,164702.459,66853.566
15471,BUN0019,164749.693,66884.967
15475,BUN0020,164769.907,66891.895
15497,BUN0021,164797.037,66901.061
15501,BUN0022,164819.287,66909.394
15506,BUN0023,164842.929,66917.331
15512,BUN0024,164864.055,66924.920
15535,BUN0025,164881.871,66930.639
15540,BUN0026,164901.278,66937.947
15520,BUN0027,164914.003,66942.078
15546,BUN0028,164923.866,66945.891
15565,BUN0029,164936.841,66949.965
15552,BUN0030,164949.802,66954.346
15571,BUN0031,164983.147,66966.191
15577,BUN0032,165021.929,66979.767
15581,BUN0033,165043.718,66986.954
15555,BUN0034,165064.309,66993.942
15583,BUN0035,165093.789,67004.567
15584,BUN0036,165129.544,67017.114
15589,BUN0037,165161.434,67028.373
15622,BUN0038,165244.367,67057.052
15623,BUN0039,165265.034,67063.825
15629,BUN0040,165302.492,67080.273
15637,BUN0041,165330.169,67100.146
15638,BUN0042,165326.416,67102.874
15642,BUN0043,165392.797,67150.199
15644,BUN0044,165409.937,67164.930
15646,BUN0045,165442.823,67191.148
15654,BUN0046,165477.264,67215.586
15659,BUN0047,165487.251,67225.223
15663,BUN0048,165506.850,67238.404
15675,BUN0049,165516.257,67287.627
15680,BUN0050,165520.625,67346.013
15684,BUN0051,165523.419,67396.838
15686,BUN0052,165528.709,67459.076
15688,BUN0053,165532.225,67502.218
15689,BUN0054,165526.724,67549.080
15690,BUN0055,165515.980,67585.248
15691,BUN0056,165506.932,67618.026
15693,BUN0057,165498.312,67648.107
15694,BUN0058,165492.935,67672.824
15696,BUN0059,165488.634,67686.795
15697,BUN0060,165485.050,67700.765
15700,BUN0061,165479.673,67721.542
15701,BUN0062,165470.051,67754.165
15703,BUN0063,165465.087,67765.213
15704,BUN0064,165443.795,67849.555
15706,BUN0065,165435.759,67880.216
15707,BUN0066,165425.533,67901.387
15708,BUN0067,165430.281,67904.672
15711,BUN0068,165398.164,68026.454
15712,BUN0069,165380.239,68083.054
15632,BUN0070,165366.056,68136.609
15715,BUN0071,165319.935,68221.112
15716,BUN0072,165288.025,68233.244
15722,BUN0073,165273.173,68238.810
15728,BUN0074,165253.493,68247.344
15732,BUN0075,165236.954,68254.799
15737,BUN0076,165221.658,68260.019
15739,BUN0077,165203.006,68266.357
15750,BUN0078,165176.024,68278.661
15754,BUN0079,165143.715,68292.177
15768,BUN0080,165112.908,68304.943
15757,BUN0081,165097.880,68323.716
15760,BUN0082,165079.847,68344.366
15765,BUN0083,165062.565,68361.261
15746,BUN0084,165042.852,68385.950
15770,BUN0085,165028.509,68401.039
15773,BUN0086,164981.326,68454.228
15776,BUN0087,164931.082,68510.838
15778,BUN0088,164908.024,68534.488
16144,BUN0089,164896.495,68547.829
15301,BUN0090,164876.471,68570.872
15304,BUN0091,164845.525,68604.830
15307,BUN0092,164837.637,68615.746
15309,BUN0093,164826.108,68629.087
15310,BUN0094,164809.222,68645.597
15313,BUN0095,164792.838,68662.352
15314,BUN0096,164760.832,68699.289
15317,BUN0097,164690.024,68779.735
15318,BUN0098,164654.422,68819.523
15319,BUN0099,164634.644,68841.795
15327,BUN0100,164628.577,68850.526
15323,BUN0101,164616.930,68861.196
15326,BUN0102,164595.829,68884.113
15330,BUN0103,164576.371,68905.504
15331,BUN0104,164551.464,68917.950
15332,BUN0105,164540.956,68931.173
15333,BUN0106,164532.783,68931.173
15335,BUN0107,164506.709,68953.731
15339,BUN0108,164468.506,68981.383
15337,BUN0109,164417.713,69017.105
15340,BUN0110,164355.812,69063.737
15342,BUN0111,164316.002,69092.187
15344,BUN0112,164299.819,69102.837
15345,BUN0113,164296.267,69109.148
15347,BUN0114,164290.741,69109.148
15348,BUN0115,164281.108,69119.434
15350,BUN0116,164268.848,69134.936
15351,BUN0117,164256.589,69148.438
15353,BUN0118,164246.081,69159.689
15354,BUN0119,164229.819,69178.192
15355,BUN0120,164216.940,69193.430
15357,BUN0121,164210.118,69202.653
15358,BUN0122,164198.482,69215.885
15359,BUN0123,164171.599,69245.960
15360,BUN0124,164140.821,69280.300
15362,BUN0125,164129.533,69293.192
15395,BUN0126,164082.769,69347.984
15420,BUN0127,164028.346,69409.222
15418,BUN0128,164017.717,69444.933
15397,BUN0129,164012.822,69465.723
15398,BUN0130,164005.072,69494.666
15403,BUN0131,164000.993,69514.233
15405,BUN0132,163994.512,69538.279
15408,BUN0133,163992.216,69546.196
15410,BUN0134,163988.870,69559.570
15415,BUN0135,163984.238,69575.772
15411,BUN0136,163982.437,69584.774
15422,BUN0137,163978.674,69601.147
15424,BUN0138,163976.325,69611.841
15429,BUN0139,163973.976,69618.883
15433,BUN0140,163968.234,69642.098
15436,BUN0141,163958.773,69679.382
15440,BUN0142,163952.479,69709.572
15442,BUN0143,163944.508,69737.665
15443,BUN0144,163937.572,69766.319
15446,BUN0145,163936.160,69820.485
15449,BUN0146,163938.277,69849.690
15450,BUN0147,163939.124,69872.123
15457,BUN0148,163942.513,69903.868
15463,BUN0149,163945.557,69942.037
15470,BUN0150,163948.990,69980.793
15474,BUN0151,163951.983,70034.201
15478,BUN0152,163953.693,70060.691
15481,BUN0153,163955.831,70088.463
15485,BUN0154,163957.381,70107.532
15490,BUN0155,163958.462,70123.743
15493,BUN0156,163957.110,70138.064
15498,BUN0157,163955.218,70157.248
15503,BUN0158,163948.144,70215.740
15507,BUN0159,163940.594,70241.424
15523,BUN0160,163944.442,70245.819
15513,BUN0161,163937.845,70272.737
15521,BUN0162,163936.196,70310.368
15527,BUN0163,163930.969,70357.302
15529,BUN0164,163930.416,70367.537
15534,BUN0165,163920.728,70384.410
15538,BUN0166,163908.272,70400.178
15539,BUN0167,163907.719,70406.540
15545,BUN0168,163887.694,70449.392
15558,BUN0169,163871.564,70479.706
15561,BUN0170,163866.511,70491.489
15566,BUN0171,163857.528,70508.602
15574,BUN0172,163845.870,70531.284
15576,BUN0173,163832.934,70555.867
15594,BUN0174,163809.490,70599.489
15597,BUN0175,163777.995,70662.199
15598,BUN0176,163769.235,70672.919
15601,BUN0177,163773.883,70696.682
15604,BUN0178,163777.067,70723.231
15606,BUN0179,163781.091,70743.624
15611,BUN0180,163787.413,70778.377
15081,BUN0181,163793.050,70813.841
15084,BUN0182,163794.440,70839.295
15088,BUN0183,163802.312,70879.096
15091,BUN0184,163801.849,70891.592
15095,BUN0185,163802.312,70903.624
15097,BUN0186,163801.849,70914.269
15144,BUN0187,163802.312,70934.632
15158,BUN0188,163803.238,70963.326
15161,BUN0189,163804.757,70990.003
15164,BUN0190,163699.836,71598.437
15166,BUN0191,163712.421,71618.879
15514,BUN0192,163724.062,71637.433
15171,BUN0193,163741.681,71666.995
15174,BUN0194,163753.322,71683.348
15178,BUN0195,163771.569,71714.797
15181,BUN0196,163821.938,71796.856
15213,BUN0197,163855.735,71851.161
15216,BUN0198,163874.450,71882.731
15220,BUN0199,163884.598,71898.579
15225,BUN0200,163891.891,71909.673
15241,BUN0201,163903.624,71930.594
15261,BUN0202,163911.869,71944.224
15265,BUN0203,163920.114,71956.586
15298,BUN0204,163925.188,71965.778
15302,BUN0205,163934.067,71978.774
15306,BUN0206,163942.628,71993.671
15311,BUN0207,163955.259,72014.117
15325,BUN0208,163975.953,72047.531
15456,BUN0209,164001.740,72089.218
15466,BUN0210,164025.897,72128.201
15473,BUN0211,164053.658,72169.824
15482,BUN0212,164112.445,72269.395
15488,BUN0213,164165.775,72360.366
15508,BUN0214,164215.498,72446.627
15542,BUN0215,164251.651,72509.172
15551,BUN0216,164265.224,72531.610
15554,BUN0217,164275.665,72553.004
15563,BUN0218,164291.848,72578.573
15568,BUN0219,164312.729,72611.969
15575,BUN0220,164329.434,72641.713
15592,BUN0221,164347.936,72677.739
15617,BUN0222,164363.135,72699.218
15620,BUN0223,164375.189,72728.031
15628,BUN0224,164391.436,72750.558
15634,BUN0225,164400.417,72778.422
15650,BUN0226,164407.159,72808.744
15653,BUN0227,164415.585,72853.385
15661,BUN0228,164420.641,72880.338
15671,BUN0229,164430.752,72924.137
15893,BUN0230,164438.269,72966.693
15904,BUN0231,164448.326,73012.722
15908,BUN0232,164454.079,73039.810
15943,BUN0233,164457.813,73062.206
15913,BUN0234,164462.081,73084.069
15927,BUN0235,164470.083,73120.863
15938,BUN0236,164478.618,73167.255
15934,BUN0237,164510.014,73319.853
15944,BUN0238,164549.680,73376.332
15955,BUN0239,164563.681,73395.841
15970,BUN0240,164578.107,73416.198
15973,BUN0241,164596.279,73441.108
15974,BUN0242,164617.683,73472.011
15978,BUN0243,164635.537,73496.611
15981,BUN0244,164655.708,73525.491
15984,BUN0245,164697.139,73585.978
15987,BUN0246,164713.494,73607.775
15990,BUN0247,164755.520,73668.050
15999,BUN0248,164783.980,73708.533
16008,BUN0249,164812.440,73748.470
16011,BUN0250,164834.332,73802.083
16016,BUN0251,165111.486,74318.342
16014,BUN0252,165152.387,74366.409
16018,BUN0253,166289.144,74681.477
16021,BUN0254,166300.714,74671.314
16022,BUN0255,166324.906,74648.183
16024,BUN0256,166351.914,74623.791
16163,BUN0257,166369.902,74607.222
16025,BUN0258,166390.710,74587.832
16028,BUN0259,166413.635,74565.974
16029,BUN0260,166436.560,74545.174
16031,BUN0261,166471.637,74510.247
16039,BUN0262,166530.495,74448.585
16042,BUN0263,166581.200,74396.386
16043,BUN0264,166598.848,74377.038
16055,BUN0265,166610.803,74365.088
16049,BUN0266,166687.657,74284.282
16057,BUN0267,166763.671,74209.711
16059,BUN0268,166763.671,74199.683
16063,BUN0269,166774.061,74198.251
16068,BUN0270,166783.735,74180.343
16065,BUN0271,166792.334,74177.120
16071,BUN0272,166816.594,74150.591
16073,BUN0273,166875.433,74088.408
15017,BUN0274,166903.029,74059.674
15019,BUN0275,166928.901,74032.089
15022,BUN0276,166949.590,74014.339
15023,BUN0277,166974.557,74026.636
15026,BUN0278,167025.079,74051.281
15033,BUN0279,167082.654,74078.125
15036,BUN0280,167135.490,74102.501
15037,BUN0281,167222.002,74129.198
15040,BUN0282,167261.928,74138.320
15041,BUN0283,167303.314,74148.225
15042,BUN0284,167320.219,74151.138
15043,BUN0285,167452.913,74159.559
15045,BUN0286,167507.193,74157.800
15046,BUN0287,167577.489,74156.094
15047,BUN0288,167623.757,74154.477
15048,BUN0289,167649.742,74154.009
15049,BUN0290,167673.185,74153.411
15050,BUN0291,167703.928,74152.409
15051,BUN0292,167737.256,74151.441
15053,BUN0293,167778.865,74150.496
15055,BUN0294,167844.832,74138.577
15056,BUN0295,167869.869,74122.651
15059,BUN0296,167902.114,74102.174
15062,BUN0297,167933.601,74082.077
15065,BUN0298,167972.063,74057.949
15103,BUN0299,168006.760,74037.261
15107,BUN0300,168051.806,74006.838
15125,BUN0301,168106.447,73974.343
15149,BUN0302,168140.059,73951.741
15128,BUN0303,168191.393,73921.197
15131,BUN0304,168228.061,73895.541
15132,BUN0305,168255.562,73879.658
15133,BUN0306,168268.395,73870.495
15150,BUN0307,168281.840,73861.943
15135,BUN0308,168320.311,73839.171
15137,BUN0309,168383.525,73817.721
15139,BUN0310,168427.874,73822.647
15141,BUN0311,168484.542,73826.957
15143,BUN0312,168517.804,73831.267
15146,BUN0313,168579.855,73840.920
15155,BUN0314,168694.977,73883.700
15159,BUN0315,168728.058,73895.760
15163,BUN0316,168809.889,73926.383
15169,BUN0317,168867.338,73928.100
15168,BUN0318,168951.354,73922.882
15172,BUN0319,169071.706,73914.599
15175,BUN0320,169145.533,73927.613
15177,BUN0321,169196.544,73962.933
15180,BUN0322,169248.146,73998.338
15183,BUN0323,169289.672,74013.505
15185,BUN0324,169308.991,74018.014
15191,BUN0325,169341.408,74026.806
15193,BUN0326,169368.931,74033.703
15196,BUN0327,169385.615,74037.998
15199,BUN0328,169399.519,74041.283
15201,BUN0329,169425.303,74048.358
15203,BUN0330,169458.295,74057.183
15205,BUN0331,169487.848,74064.871
15206,BUN0332,169508.899,74070.537
15207,BUN0333,169531.974,74076.202
15210,BUN0334,169577.107,74085.274
15214,BUN0335,169629.536,74092.587
15218,BUN0336,169660.831,74097.462
15223,BUN0337,169700.255,74103.556
15226,BUN0338,169799.929,74117.157
15228,BUN0339,169921.558,74113.151
15232,BUN0340,169979.131,74092.717
15233,BUN0341,169979.131,74085.977
15235,BUN0342,170039.670,74066.950
15253,BUN0343,170054.651,74059.879
15238,BUN0344,170091.272,74044.904
15239,BUN0345,170142.875,74025.353
15248,BUN0346,170181.531,74010.046
15276,BUN0347,170205.675,73999.554
15243,BUN0348,170252.225,73980.993
15244,BUN0349,170296.203,73963.431
15246,BUN0350,170308.836,73959.222
15279,BUN0351,170334.944,73947.857
15252,BUN0352,170359.480,73938.470
16184,BUN0353,170382.711,73928.707
15255,BUN0354,170438.150,73906.769
15256,BUN0355,170493.561,73884.554
15260,BUN0356,170519.053,73874.998
15262,BUN0357,170552.778,73860.930
15266,BUN0358,170602.480,73841.205
15269,BUN0359,170634.000,73828.922
15270,BUN0360,170659.377,73818.776
15274,BUN0361,170680.212,73810.232
15286,BUN0362,170689.405,73806.637
15283,BUN0363,170702.052,73805.584
15289,BUN0364,171231.677,73881.160
15292,BUN0365,171268.737,73880.819
15293,BUN0366,171302.050,73880.813
15294,BUN0367,171353.196,73880.540
15295,BUN0368,171381.039,73880.744
15297,BUN0369,171401.632,73883.214
15300,BUN0370,171448.764,73931.584
15303,BUN0371,171516.426,73998.029
15305,BUN0372,171518.657,74004.721
15652,BUN0373,171580.843,74064.930
15655,BUN0374,171620.103,74102.838
15657,BUN0375,171642.572,74127.543
15660,BUN0376,171669.983,74154.045
15664,BUN0377,171694.699,74179.250
15666,BUN0378,171719.512,74195.935
15667,BUN0379,171754.701,74218.483
15672,BUN0380,171786.571,74243.484
15677,BUN0381,171802.475,74250.528
15685,BUN0382,171822.144,74268.479
15683,BUN0383,171829.555,74268.479
15725,BUN0384,171847.659,74281.334
15730,BUN0385,171878.068,74301.948
15734,BUN0386,171900.191,74320.041
15733,BUN0387,171901.340,74316.020
15738,BUN0388,171956.402,74354.625
15742,BUN0389,171987.395,74376.167
15745,BUN0390,172024.423,74400.225
15749,BUN0391,172052.512,74420.149
15755,BUN0392,172098.427,74450.551
15758,BUN0393,172127.183,74469.804
15762,BUN0394,172158.624,74491.381
15763,BUN0395,172202.266,74520.933
15764,BUN0396,172263.001,74560.234
15767,BUN0397,172261.229,74563.776
15769,BUN0398,172317.891,74598.227
15772,BUN0399,172351.605,74621.011
15774,BUN0400,172385.795,74644.268
15775,BUN0401,172522.799,74689.013
15777,BUN0402,172627.352,74717.231
15779,BUN0403,172698.048,74737.774
15780,BUN0404,172732.163,74746.900
15781,BUN0405,172771.083,74756.986
15782,BUN0406,172810.368,74771.447
15783,BUN0407,172813.263,74767.107
15784,BUN0408,172856.196,74781.573
15786,BUN0409,172883.210,74785.431
15785,BUN0410,172880.798,74791.217
15787,BUN0411,172904.435,74794.110
15788,BUN0412,172933.861,74801.825
15789,BUN0413,172966.181,74811.951
15790,BUN0414,173033.245,74831.056
15791,BUN0415,173086.201,74844.697
15792,BUN0416,173094.467,74847.613
15793,BUN0417,173125.098,74856.361
15795,BUN0418,173179.067,74872.399
15794,BUN0419,173205.191,74880.143
15797,BUN0420,173232.731,74885.955
15838,BUN0421,173246.502,74913.789
15843,BUN0422,173278.300,74968.860
15840,BUN0423,173385.026,75155.161
15844,BUN0424,173371.588,75284.650
15853,BUN0425,173364.894,75348.201
15855,BUN0426,173359.663,75403.047
15857,BUN0427,173353.992,75454.370
15860,BUN0428,173352.089,75467.680
15861,BUN0429,173350.504,75486.695
15863,BUN0430,173353.992,75509.195
15865,BUN0431,173367.442,75549.433
15867,BUN0432,173372.040,75563.222
15869,BUN0433,173383.006,75599.758
15916,BUN0434,173380.995,75653.232
15917,BUN0435,173380.217,75681.030
15923,BUN0436,173378.926,75708.771
15870,BUN0437,173371.760,75887.198
15871,BUN0438,173348.796,75917.979
15873,BUN0439,173254.619,76045.458
15883,BUN0440,173246.011,76064.321
15878,BUN0441,173228.795,76094.437
15882,BUN0442,173200.984,76146.396
15884,BUN0443,173193.814,76187.295
15849,BUN0444,173187.587,76492.589
15851,BUN0445,173095.384,76635.377
15887,BUN0446,173041.881,76825.592
15888,BUN0447,173045.957,76874.484
15890,BUN0448,173049.014,76919.302
15894,BUN0449,173053.677,76943.343
15895,BUN0450,173053.335,76962.165
15898,BUN0451,173056.416,77001.862
15900,BUN0452,173061.090,77059.068
15907,BUN0453,173065.559,77112.320
15935,BUN0454,173067.296,77142.425
15929,BUN0455,173070.287,77168.822
15937,BUN0456,173072.238,77197.636
15942,BUN0457,173075.723,77244.552
15947,BUN0458,173081.838,77314.008
15950,BUN0459,173058.112,77397.358
15954,BUN0460,173040.936,77443.260
15958,BUN0461,173038.131,77455.173
15959,BUN0462,173028.316,77481.804
15962,BUN0463,173021.305,77498.272
15964,BUN0464,173014.645,77518.245
15968,BUN0465,173003.094,77547.179
15976,BUN0466,172993.512,77575.911
16140,BUN0467,172983.931,77597.882
16139,BUN0468,172956.309,77692.453
16134,BUN0469,172935.204,77794.659
16132,BUN0470,172937.449,77816.881
16128,BUN0471,172939.695,77836.410
16126,BUN0472,172942.068,77852.098
16123,BUN0473,172944.098,77870.126
16120,BUN0474,172949.029,77917.269
16112,BUN0475,172960.573,77962.518
16118,BUN0476,172968.309,77991.569
16115,BUN0477,172974.483,78017.345
16113,BUN0478,172978.478,78035.134
16110,BUN0479,172993.780,78095.337
16109,BUN0480,172754.655,79099.886
16106,BUN0481,172723.969,79126.326
16104,BUN0482,172689.403,79156.643
16102,BUN0483,172587.085,79245.979
16099,BUN0484,172546.135,79281.694
16097,BUN0485,172510.219,79314.002
16096,BUN0486,172491.902,79328.361
16094,BUN0487,172479.332,79340.207
16093,BUN0488,172463.170,79353.130
16092,BUN0489,172427.052,79387.012
16087,BUN0490,172354.374,79560.770
16085,BUN0491,172314.973,79654.034
16083,BUN0492,172223.664,79702.059
16081,BUN0493,172182.016,79723.713
16079,BUN0494,172160.668,79734.619
16078,BUN0495,172145.488,79775.158
16077,BUN0496,172132.384,79812.986
16076,BUN0497,172120.214,79846.138
16075,BUN0498,172098.356,79906.954
16074,BUN0499,172078.594,79961.934
16072,BUN0500,172068.657,79988.345
16070,BUN0501,172060.370,80011.487
16069,BUN0502,172054.033,80030.731
16067,BUN0503,172046.690,80049.802
16066,BUN0504,172035.869,80070.696
16061,BUN0505,172040.296,80074.137
16060,BUN0506,172023.322,80114.621
16053,BUN0507,172014.224,80140.319
16052,BUN0508,172008.945,80154.432
16050,BUN0509,172007.456,80160.634
16048,BUN0510,172004.230,80168.571
16046,BUN0511,171999.515,80182.214
16044,BUN0512,171995.217,80193.631
16040,BUN0513,171994.381,80210.995
16037,BUN0514,171991.356,80264.203
16187,BUN0515,171990.699,80305.205
16019,BUN0516,171989.326,80336.969
16013,BUN0517,171988.047,80362.408
15925,BUN0518,171985.502,80421.810
16009,BUN0519,171983.812,80455.024
16002,BUN0520,171982.977,80478.817
16004,BUN0521,171981.306,80518.891
15998,BUN0522,171979.532,80590.392
15997,BUN0523,171978.975,80637.555
15994,BUN0524,171980.654,80660.202
15993,BUN0525,171981.185,80688.119
15992,BUN0526,171982.765,80714.083
15989,BUN0527,171981.154,80736.352
15980,BUN0528,171984.644,80748.962
15975,BUN0529,171980.392,80780.851
15948,BUN0530,171984.726,80780.039
15952,BUN0531,171980.121,80799.532
15971,BUN0532,171970.641,80829.584
15920,BUN0533,171961.367,80862.852
15915,BUN0534,171956.607,80882.443
16170,BUN0535,171949.326,80910.990
16183,BUN0536,171998.331,80991.694
16167,BUN0537,172058.948,81055.872
15881,BUN0538,172079.392,81110.123
15877,BUN0539,172081.665,81150.550
15832,BUN0540,172084.250,81162.654
15825,BUN0541,172084.250,81189.810
15824,BUN0542,172088.058,81235.752
15823,BUN0543,172089.529,81278.384
15821,BUN0544,172094.518,81337.573
15820,BUN0545,172098.248,81409.516
15819,BUN0546,172100.817,81450.103
15818,BUN0547,172105.032,81488.960
15817,BUN0548,172107.843,81553.098
15816,BUN0549,172113.409,81617.650
15815,BUN0550,172115.167,81656.146
15814,BUN0551,172100.798,81685.988
15822,BUN0552,172094.454,81701.655
15813,BUN0553,172072.415,81749.863
15811,BUN0554,172041.176,81818.427
15810,BUN0555,172013.604,81880.681
15809,BUN0556,172005.894,81895.477
15808,BUN0557,171999.109,81912.739
15807,BUN0558,171983.412,81944.358
15806,BUN0559,171969.980,81974.565
15805,BUN0560,171964.901,82020.913
15673,BUN0561,171942.000,82219.989
15676,BUN0562,171715.096,82547.121
15681,BUN0563,171701.858,82566.664
15687,BUN0564,171679.861,82598.420
15695,BUN0565,171660.138,82631.610
15699,BUN0566,171638.142,82670.869
15709,BUN0567,171605.671,82732.114
15719,BUN0568,171587.625,82766.692
15721,BUN0569,171549.961,82835.136
15724,BUN0570,171556.223,82908.212
15729,BUN0571,171561.506,82975.553
15740,BUN0572,171564.355,83004.555
